,texts,labels
15094,"I sent my keenest huntsmen to seek him, but he slipped them, and they had no sight of him till now, save Anborn here, once at dusk yesterevening.",
15095,"But now he has done worse trespass than only to go coney-snaring in the uplands: he has dared to come to Henneth Annuˆn, and his life is forfeit.",
15096,"I marvel at the creature: so secret and so sly as he is, to come sporting in the pool before our very window.Does he think that men sleep without watch all night?",
15097,"Why does he so?’ ‘There are two answers, I think,’ said Frodo.",
15098,"‘For one thing, he knows little of Men, and sly though he is, your refuge is so hidden that perhaps he does not know that Men are concealed here.",
15099,"For another, I think he is allured here by a mastering desire, stronger than his caution.’ ‘He is lured here, you say?’ said Faramir in a low voice.",
15100,"‘Can he, does he then know of your burden?’ ‘Indeed yes.",
15101,"He bore it himself for many years.’ ‘He bore it?’ said Faramir, breathing sharply in his wonder.",
15102,‘This matter winds itself ever in new riddles.,
15103,Then he is pursuing it?’ ‘Maybe.,
15104,It is precious to him.,
15105,"But I did not speak of that.’ ‘What then does the creature seek?’ ‘Fish,’ said Frodo.",
15106,‘Look!’ They peered down at the dark pool.,
15107,"A little black head appeared at the far end of the basin, just out of the deep shadow of the rocks.There was a brief silver glint, and a swirl of tiny ripples.",
15108,"It swam to the side, and then with marvellous agility a froglike figure climbed out of the water and up the bank.",
15109,At once it sat down and began to gnaw at the small silver thing that glittered as it turned: the last rays of the moon were now falling behind the stony wall at the pool’s end.Faramir laughed softly.,
15110,‘Fish!’ he said.,
15111,"‘It is a less perilous hunger.Or maybe not: fish from the pool of Henneth Annuˆn may cost him all he has to give.’ ‘Now I have him at the arrow-point,’ said Anborn.",
15112,"‘Shall I not shoot, Captain?",
15113,"For coming unbidden to this place death is our law.’ ‘Wait, Anborn,’ said Faramir.",
15114,‘This is a harder matter than it seems.,
15115,"What have you to say now, Frodo?",
15116,Why should we spare?’,
15117,"you not to slay him for that reason, and for others.",
15118,He forbade the Elves to do so.,
15119,"I do not know clearly why, and of what I guess I cannot speak openly out here.",
15120,But this creature is in some way bound up with my errand.,
15121,"Until you found us and took us, he was my guide.’ ‘Your guide!’ said Faramir.",
15122,‘The matter becomes ever stranger.,
15123,"I would do much for you, Frodo, but this I cannot grant: to let this sly wanderer go free at his own will from here, to join you later if it please him, or to be caught by orcs and tell all he knows u",nder threat of pain.
15124,He must be slain or taken.,
15125,"Slain, if he be not taken very swiftly.",
15126,"But how can this slippery thing of many guises be caught, save by a feathered shaft?’ ‘Let me go down quietly to him,’ said Frodo.",
15127,"‘You may keep your bows bent, and shoot me at least, if I fail.",
15128,I shall not run away.’ ‘Go then and be swift!’ said Faramir.,
15129,"‘If he comes off alive, he should be your faithful servant for the rest of his unhappy days.",
15130,"Lead Frodo down to the bank, Anborn, and go softly.",
15131,The thing has a nose and ears.,
15132,"Give me your bow.’ Anborn grunted and led the way down the winding stair to the landing, and then up the other stair, until at last they came to a narrow opening shrouded with thick bushes.",
15133,"Passing silently through, Frodo found himself on the top of the southern bank above the pool.It was now dark and the falls were pale and grey, reflecting only the lingering moonlight of the western sk",y.
15134,He could not see Gollum.He went forward a short way and Anborn came softly behind him.‘Go on!’ he breathed in Frodo’s ear.,
15135,"‘Have a care to your right.If you fall in the pool, then no one but your fishing friend can help you.",
15136,"And forget not that there are bowmen near at hand, though you may not see them.’ Frodo crept forward, using his hands Gollum-like to feel his way and to steady himself.",
15137,The rocks were for the most part flat and smooth but slippery.,
15138,He halted listening.,
15139,At first he could hear no sound but the unceasing rush of the fall behind him.,
15140,"Then presently he heard, not far ahead, a hissing murmur.‘Fissh, nice fissh.",
15141,"White Face has vanished, my precious, at last, yes.",
15142,Now we can eat fish in peace.,
15143,"No, not in peace, precious.",
15144,"For Precious is lost; yes, lost.",
15145,"Dirty hobbits, nasty hobbits.",
15146,"Gone and left us, gollum; and Precious is gone.",
15147,Only poor Sme´agol all alone.,
15148,No Precious.,
15149,"Nasty Men, they’ll take it, steal my Precious.",
15150,Thieves.,
15151,We hates them.,
15152,"Fissh, nice fissh.",
15153,Makes us strong.,
15154,"Makes eyes bright, fingers tight, yes.",
15155,"Throttle them, precious.",
15156,"Throttle them all, yes, if we gets chances.",
15157,Nice fissh.,
15158,Nice fissh!’,
15159,with pity and disgust.,
15160,"He wished it would stop, and that he never need hear that voice again.",
15161,Anborn was not far behind.,
15162,He could creep back and ask him to get the huntsmen to shoot.,
15163,"They would probably get close enough, while Gollum was gorging and off his guard.",
15164,"Only one true shot, and Frodo would be rid of the miserable voice for ever.",
15165,"But no, Gollum had a claim on him now.",
15166,"The servant has a claim on the master for service, even service in fear.",
15167,They would have foundered in the Dead Marshes but for Gollum.,
15168,"Frodo knew, too, somehow, quite clearly that Gandalf would not have wished it.‘Sme´agol!’ he said softly.‘Fissh, nice fissh,’ said the voice.‘Sme´agol!’ he said, a little louder.",
15169,"The voice stopped.‘Sme´agol, Master has come to look for you.",
15170,Master is here.,
15171,"Come, Sme´agol!’ There was no answer but a soft hiss, as of intaken breath.‘Come, Sme´agol!’ said Frodo.",
15172,‘We are in danger.,
15173,"Men will kill you, if they find you here.",
15174,"Come quickly, if you wish to escape death.Come to Master!’ ‘No!’ said the voice.",
15175,‘Not nice Master.,
15176,Leaves poor Sme´agol and goes with new friends.,
15177,Master can wait.,
15178,"Sme´agol hasn’t finished.’ ‘There’s no time,’ said Frodo.",
15179,‘Bring fish with you.,
15180,Come!’ ‘No!,
15181,Must finish fish.’ ‘Sme´agol!’ said Frodo desperately.,
15182,‘Precious will be angry.,
15183,"I shall take Precious, and I shall say: make him swallow the bones and choke.",
15184,Never taste fish again.,
15185,"Come, Precious is waiting!’ There was a sharp hiss.",
15186,"Presently out of the darkness Gollum came crawling on all fours, like an erring dog called to heel.",
15187,He had a half-eaten fish in his mouth and another in his hand.,
15188,"He came close to Frodo, almost nose to nose, and sniffed at him.",
15189,His pale eyes were shining.,
15190,Then he took the fish out of his mouth and stood up.‘Nice Master!’ he whispered.,
15191,"‘Nice hobbit, come back to poor Sme´agol.",
15192,Good Sme´agol comes.,
15193,"Now let’s go, go quickly, yes.Through the trees, while the Faces are dark.",
15194,"Yes, come, let’s go!’ ‘Yes, we’ll go soon,’ said Frodo.",
15195,‘But not at once.,
15196,I will go with you as I promised.,
15197,I promise again.,
15198,But not now.,
15199,You are not safe yet.,
15200,"I will save you, but you must trust me.’ ‘We must trust Master?’ said Gollum doubtfully.",
15201,‘Why?,
15202,Why not go at once?,
15203,"Where is the other one, the cross rude hobbit?",
15204,"Where is he?’ ‘Away up there,’ said Frodo, pointing to the waterfall.",
15205,‘I am not going without him.,
15206,We must go back to him.’ His heart sank.,
15207,This was too much like trickery.,
15208,"He did not really fear that Faramir would allowGollumtobekilled,buthewouldprobablymakehimprisoner",
15209,ever to make him understand or believe that Frodo had saved his life in the only way he could.,
15210,What else could he do?,
15211,"– to keep faith, as near as might be, with both sides.",
15212,‘Come!’ he said.,
15213,‘Or the Precious will be angry.,
15214,"We are going back now, up the stream.",
15215,"Go on, go on, you go in front!’ Gollum crawled along close to the brink for a little way, snuffling and suspicious.",
15216,Presently he stopped and raised his head.,
15217,‘Some- thing’s there!’ he said.,
15218,‘Not a hobbit.’ Suddenly he turned back.,
15219,A green light was flickering in his bulging eyes.,
15220,"‘Masster, masster!’ he hissed.",
15221,‘Wicked!,
15222,Tricksy!,
15223,False!’ He spat and stretched out his long arms with white snapping fingers.At that moment the great black shape of Anborn loomed up behind him and came down on him.,
15224,A large strong hand took him in the nape of the neck and pinned him.,
15225,"He twisted round like lightning, all wet and slimy as he was, wriggling like an eel, biting and scratching like a cat.",
15226,But two more men came up out of the shadows.‘Hold still!’ said one.,
15227,‘Or we’ll stick you as full of pins as a hedge- hog.,
15228,"Hold still!’ Gollum went limp, and began to whine and weep.",
15229,"They tied him, none too gently.‘Easy, easy!’ said Frodo.",
15230,‘He has no strength to match you.,
15231,"Don’t hurt him, if you can help it.",
15232,"He’ll be quieter, if you don’t.",
15233,Sme´agol!,
15234,They won’t hurt you.,
15235,"I’ll go with you, and you shall come to no harm.",
15236,Not unless they kill me too.,
15237,Trust Master!’ Gollum turned and spat at him.,
15238,"The men picked him up, put a hood over his eyes, and carried him off.Frodo followed them, feeling very wretched.",
15239,"They went through the opening behind the bushes, and back, down the stairs and pass- ages, into the cave.",
15240,Two or three torches had been lit.,
15241,Men were stirring.,
15242,"Sam was there, and he gave a queer look at the limp bundle that the men carried.",
15243,‘Got him?’ he said to Frodo.‘Yes.,
15244,"Well no, I didn’t get him.",
15245,"He came to me, because he trusted me at first, I’m afraid.",
15246,I did not want him tied up like this.,
15247,"I hope it will be all right; but I hate the whole business.’ ‘So do I,’ said Sam.",
15248,"‘And nothing will ever be all right where that piece of misery is.’ A man came and beckoned to the hobbits, and took them to the recess at the back of the cave.",
15249,"Faramir was sitting there in his chair, and the lamp had been rekindled in its niche above his head.",
15250,He signed to them to sit down on the stools beside him.,
15251,"‘Bring wine for the guests,’ he said.",
15252,"‘And bring the prisoner to me.’ The wine was brought, and then Anborn came carrying Gollum.",
15253,malice of his eyes with their heavy pale lids.,
15254,"A very miserable creature he looked, dripping and dank, smelling of fish (he still clutched one in his hand); his sparse locks were hanging like rank weed over his bony brows, his nose was snivelling.",‘Loose us!
15255,Loose us!’ he said.,
15256,"‘The cord hurts us, yes it does, it hurts us, and we’ve done nothing.’ ‘Nothing?’ said Faramir, looking at the wretched creature with a keen glance, but without any expression in his face either of an","ger, or pity, or wonder."
15257,‘Nothing?,
15258,Have you never done anything worthy of binding or of worse punishment?,
15259,"However, that is not for me to judge, happily.",
15260,But tonight you have come where it is death to come.The fish of this pool are dearly bought.’ Gollum dropped the fish from his hand.,
15261,"‘Don’t want fish,’ he said.‘The price is not set on the fish,’ said Faramir.",
15262,‘Only to come here and look on the pool bears the penalty of death.,
15263,"I have spared you so far at the prayer of Frodo here, who says that of him at least you have deserved some thanks.",
15264,But you must also satisfy me.,
15265,What is your name?,
15266,Whence do you come?,
15267,And whither do you go?,
15268,"What is your business?’ ‘We are lost, lost,’ said Gollum.",
15269,"‘No name, no business, no Pre- cious, nothing.",
15270,Only empty.,
15271,"Only hungry; yes, we are hungry.",
15272,"A few little fishes, nasty bony little fishes, for a poor creature, and they say death.",
15273,"So wise they are; so just, so very just.’ ‘Not very wise,’ said Faramir.",
15274,"‘But just: yes perhaps, as just as our little wisdom allows.",
15275,Unloose him Frodo!’ Faramir took a small nail-knife from his belt and handed it to Frodo.,
15276,"Gollum misunder- standing the gesture, squealed and fell down.‘Now, Sme´agol!’ said Frodo.",
15277,‘You must trust me.,
15278,I will not desert you.,
15279,"Answer truthfully, if you can.",
15280,It will do you good not harm.’ He cut the cords on Gollum’s wrists and ankles and raised him to his feet.‘Come hither!’ said Faramir.,
15281,‘Look at me!,
15282,Do you know the name of this place?,
15283,Have you been here before?’ Slowly Gollum raised his eyes and looked unwillingly into Fara- mir’s.,
15284,"All light went out of them, and they stared bleak and pale for a moment into the clear unwavering eyes of the man of Gondor.There was a still silence.",
15285,"Then Gollum dropped his head and shrank down, until he was squatting on the floor, shivering.",
15286,"‘We doesn’t know and we doesn’t want to know,’ he whimpered.",
15287,"‘Never came here; never come again.’ ‘There are locked doors and closed windows in your mind, and darkroomsbehindthem,’saidFaramir.‘ButinthisIjudgethatyou",
15288,"‘Master knows,’ said Gollum with a sidelong glance at Frodo.‘Yes, he knows.",
15289,"We will promise Master, if he saves us.",
15290,"We’ll promise to It, yes.’ He crawled to Frodo’s feet.",
15291,"‘Save us, nice Master!’ he whined.",
15292,"‘Sme´agol promises to Precious, promises faithfully.",
15293,"Never come again, never speak, no never!",
15294,"No, precious, no!’ ‘Are you satisfied?’ said Faramir.‘Yes,’ said Frodo.",
15295,"‘At least, you must either accept this promise or carry out your law.",
15296,You will get no more.,
15297,"But I promised that if he came to me, he should not be harmed.",
15298,And I would not be proved faithless.’ Faramir sat for a moment in thought.,
15299,"‘Very good,’ he said at last.‘I surrender you to your master, to Frodo son of Drogo.",
15300,"Let him declare what he will do with you!’ ‘But, Lord Faramir,’ said Frodo bowing, ‘you have not yet declared your will concerning the said Frodo, and until that is made known, he cannot shape his pla",ns for himself or his companions.
15301,"Your judge- ment was postponed until the morning; but that is now at hand.’ ‘Then I will declare my doom,’ said Faramir.",
15302,"‘As for you, Frodo, in so far as lies in me under higher authority, I declare you free in the realm of Gondor to the furthest of its ancient bounds; save only that neither you nor any that go with you", have leave to come to this place unbidden.
15303,"This doom shall stand for a year and a day, and then cease, unless you shall before that term come to Minas Tirith and present yourself to the Lord and Steward of the City.",
15304,"Then I will entreat him to confirm what I have done and to make it lifelong.In the meantime, whomsoever you take under your protection shall be under my protection and under the shield of Gondor.",
15305,Are you answered?’ Frodo bowed low.,
15306,"‘I am answered,’ he said, ‘and I place myself at your service, if that is of any worth to one so high and honourable.’ ‘It is of great worth,’ said Faramir.",
15307,"‘And now, do you take this creature, this Sme´agol, under your protection?’ ‘I do take Sme´agol under my protection,’ said Frodo.",
15308,"Sam sighed audibly; and not at the courtesies, of which, as any hobbit would, he thoroughly approved.",
15309,"Indeed in the Shire such a matter would have required a great many more words and bows.‘Then I say to you,’ said Faramir, turning to Gollum, ‘you are under doom of death; but while you walk with Frodo", you are safe for our part.
15310,"Yet if ever you be found by any man of Gondor astray without him, the doom shall fall.",
15311,"And may death find you swiftly, withinGondororwithout,ifyoudonotwellservehim.Nowanswer",
15312,"‘This I will not have secret,’ said Faramir.",
15313,"‘Answer me, or I will reverse my judgement!’ Still Gollum did not answer.‘I will answer for him,’ said Frodo.",
15314,"‘He brought me to the Black Gate, as I asked; but it was impassable.’ ‘There is no open gate into the Nameless Land,’ said Faramir.‘Seeing this, we turned aside and came by the Southward road,’ Frodo ","continued; ‘for he said that there is, or there may be, a path near to Minas Ithil.’ ‘Minas Morgul,’ said Faramir.‘I do not know clearly,’ said Frodo; ‘but the path climbs, I think, up into the mountains on the northern side of that vale where the old city stands."
15315,"It goes up to a high cleft and so down to – that which is beyond.’ ‘Do you know the name of that high pass?’ said Faramir.‘No,’ said Frodo.‘It is called Cirith Ungol.’ Gollum hissed sharply and began ",mut- tering to himself.
15316,"‘Is not that its name?’ said Faramir turning to him.‘No!’ said Gollum, and then he squealed, as if something had stabbed him.",
15317,"‘Yes, yes, we heard the name once.",
15318,But what does the name matter to us?,
15319,Master says he must get in.,
15320,So we must try some way.,
15321,"There is no other way to try, no.’ ‘No other way?’ said Faramir.",
15322,‘How do you know that?,
15323,And who has explored all the confines of that dark realm?’ He looked long and thoughtfully at Gollum.,
15324,Presently he spoke again.,
15325,"‘Take this creature away, Anborn.",
15326,"Treat him gently, but watch him.",
15327,"And do not you, Sme´agol, try to dive into the falls.",
15328,The rocks have such teeth there as would slay you before your time.,
15329,Leave us now and take your fish!’ Anborn went out and Gollum went cringing before him.,
15330,"The curtain was drawn across the recess.‘Frodo, I think you do very unwisely in this,’ said Faramir.",
15331,‘I do not think you should go with this creature.,
15332,"It is wicked.’ ‘No, not altogether wicked,’ said Frodo.‘Not wholly, perhaps,’ said Faramir; ‘but malice eats it like a canker, and the evil is growing.",
15333,He will lead you to no good.,
15334,"If you will part with him, I will give him safe-conduct and guidance to any point on the borders of Gondor that he may name.’ ‘He would not take it,’ said Frodo.",
15335,‘He would follow after me as he long has done.,
15336,And I have promised many times to take him under my protection and to go where he led.,
15337,You would not ask me to break faith with him?’,
15338,if one sees a friend bound unwitting to his own harm.,
15339,"But no – if he will go with you, you must now endure him.",
15340,"But I do not think you are holden to go to Cirith Ungol, of which he has told you less than he knows.",
15341,That much I perceived clearly in his mind.,
15342,Do not go to Cirith Ungol!’ ‘Where then shall I go?’ said Frodo.,
15343,‘Back to the Black Gate and deliver myself up to the guard?,
15344,"What do you know against this place that makes its name so dreadful?’ ‘Nothing certain,’ said Faramir.",
15345,"‘We of Gondor do not ever pass east of the Road in these days, and none of us younger men has ever done so, nor has any of us set foot upon the Mountains of Shadow.Of them we know only old report and ",the rumour of bygone days.But there is some dark terror that dwells in the passes above Minas Morgul.
15346,"If Cirith Ungol is named, old men and masters of lore will blanch and fall silent.‘The valley of Minas Morgul passed into evil very long ago, and it was a menace and a dread while the banished Enemy d","welt yet far away, and Ithilien was still for the most part in our keeping."
15347,"As you know, that city was once a strong place, proud and fair, Minas Ithil, the twin sister of our own city.",
15348,"But it was taken by fell men whom the Enemy in his first strength had dominated, and who wandered homeless and masterless after his fall.",
15349,"It is said that their lords were men of Nu´menor who had fallen into dark wickedness; to them the Enemy had given rings of power, and he had devoured them: living ghosts they were become, terrible and", evil.
15350,"After his going they took Minas Ithil and dwelt there, and they filled it, and all the valley about, with decay: it seemed empty and was not so, for a shapeless fear lived within the ruined walls.",
15351,"Nine Lords there were, and after the return of their Master, which they aided and prepared in secret, they grew strong again.",
15352,"Then the Nine Riders issued forth from the gates of horror, and we could not withstand them.",
15353,Do not approach their citadel.,
15354,You will be espied.,
15355,"It is a place of sleepless malice, full of lidless eyes.",
15356,Do not go that way!’ ‘But where else will you direct me?’ said Frodo.,
15357,"‘You cannot yourself, you say, guide me to the mountains, nor over them.",
15358,"But over the mountains I am bound, by solemn undertaking to the Council, to find a way or perish in the seeking.",
15359,"And if I turn back, refusing the road in its bitter end, where then shall I go among Elves or Men?",
15360,"Would you have me come to Gondor with this Thing, the Thing that drove your brother mad with desire?",
15361,What spell would it work in Minas Tirith?,
15362,"Shall there be two cities of Minas Morgul, grinning at each other across a dead land filled with rottenness?’",
15363,‘I know not.,
15364,"Only I would not have you go to death or to torment.And I do not think that Mithrandir would have chosen this way.’ ‘Yet since he is gone, I must take such paths as I can find.",
15365,"And there is no time for long searching,’ said Frodo.‘It is a hard doom and a hopeless errand,’ said Faramir.",
15366,"‘But at the least, remember my warning: beware of this guide, Sme´agol.",
15367,He has done murder before now.,
15368,"I read it in him.’ He sighed.‘Well, so we meet and part, Frodo son of Drogo.",
15369,You have no need of soft words: I do not hope to see you again on any other day under this Sun.,
15370,"But you shall go now with my blessing upon you, and upon all your people.",
15371,"Rest a little while food is prepared for you.‘I would gladly learn how this creeping Sme´agol became possessed of the Thing of which we speak, and how he lost it, but I will not trouble you now.",
15372,"If ever beyond hope you return to the lands of the living and we re-tell our tales, sitting by a wall in the sun, laughing at old grief, you shall tell me then.",
15373,"Until that time, or some other time beyond the vision of the Seeing-stones of Nu´ menor, farewell!’ He rose and bowed low to Frodo, and drawing the curtain passed out into the cave.",
15374,"Chapter 7 JOURNEY TO THE CROSS-ROADS Frodo and Sam returned to their beds and lay there in silence resting for a little, while men bestirred themselves and the business of the day began.",
15375,"After a while water was brought to them, and then they were led to a table where food was set for three.",
15376,Faramir broke his fast with them.,
15377,"He had not slept since the battle on the day before, yet he did not look weary.When they had finished they stood up.",
15378,"‘May no hunger trouble you on the road,’ said Faramir.",
15379,"‘You have little provision, but some small store of food fit for travellers I have ordered to be stowed in your packs.",
15380,"You will have no lack of water as you walk in Ithilien, but do not drink of any stream that flows from Imlad Morgul, the Valley of Living Death.",
15381,This also I must tell you.,
15382,"My scouts and watchers have all returned, even some that have crept within sight of the Morannon.",
15383,They all find a strange thing.,
15384,"The land is empty.Nothing is on the road, and no sound of foot, or horn, or bowstring is anywhere to be heard.",
15385,A waiting silence broods above the Nameless Land.,
15386,I do not know what this portends.,
15387,But the time draws swiftly to some great conclusion.,
15388,Storm is coming.,
15389,Hasten while you may!,
15390,"If you are ready, let us go.",
15391,"The Sun will soon rise above the shadow.’ The hobbits’ packs were brought to them (a little heavier than they had been), and also two stout staves of polished wood, shod with iron, and with carven hea","ds through which ran plaited leathern thongs.‘I have no fitting gifts to give you at our parting,’ said Faramir; ‘but take these staves."
15392,They may be of service to those who walk or climb in the wild.,
15393,The men of the White Mountains use them; though these have been cut down to your height and newly shod.,
15394,"They are made of the fair tree lebethron, beloved of the woodwrights of Gondor, and a virtue has been set upon them of finding and returning.",
15395,May that virtue not wholly fail under the Shadow into which you go!’ The hobbits bowed low.,
15396,"‘Most gracious host,’ said Frodo, ‘it was said to me by Elrond Halfelven that I should find friendship upon the way, secret and unlooked for.",
15397,Certainly I looked for no such friendship as you have shown.,
15398,To have found it turns evil to great,
15399,Now they made ready to depart.,
15400,"Gollum was brought out of some corner or hiding-hole, and he seemed better pleased with himself than he had been, though he kept close to Frodo and avoided the glance of Faramir.‘Your guide must be bl","indfolded,’ said Faramir, ‘but you and your servant Samwise I release from this, if you wish.’ Gollum squealed, and squirmed, and clutched at Frodo, when they came to bind his eyes; and Frodo said: ‘Blindfold us all three, and cover up my eyes first, and then perhaps he will see that no harm is meant.’ This was done, and they were led from the cave of Henneth Annuˆn."
15401,"After they had passed the passages and stairs they felt the cool morning air, fresh and sweet, about them.",
15402,"Still blind they went on for some little time, up and then gently down.",
15403,At last the voice of Faramir ordered them to be uncovered.They stood under the boughs of the woods again.,
15404,"No noise of the falls could be heard, for a long southward slope lay now between them and the ravine in which the stream flowed.",
15405,"To the west they could see light through the trees, as if the world came there to a sudden end, at a brink looking out only on to sky.‘Here is the last parting of our ways,’ said Faramir.",
15406,"‘If you take my counsel, you will not turn eastward yet.",
15407,"Go straight on, for thus you will have the cover of the woodland for many miles.",
15408,"On your west is an edge where the land falls into the great vales, sometimes suddenly and sheer, sometimes in long hillsides.",
15409,Keep near to this edge and the skirts of the forest.,
15410,"In the beginning of your journey you may walk under daylight, I think.",
15411,"The land dreams in a false peace, and for a while all evil is withdrawn.",
15412,"Fare you well, while you may!’ He embraced the hobbits then, after the manner of his people, stooping, and placing his hands upon their shoulders, and kissing their foreheads.",
15413,‘Go with the good will of all good men!’ he said.They bowed to the ground.,
15414,Then he turned and without looking back he left them and went to his two guards that stood at a little distance away.,
15415,"They marvelled to see with what speed these green- clad men now moved, vanishing almost in the twinkling of an eye.The forest where Faramir had stood seemed empty and drear, as if a dream had passed.F",rodo sighed and turned back southward.
15416,"As if to mark his disre- gard of all such courtesy, Gollum was scrabbling in the mould at the foot of a tree.",
15417,‘Hungry again already?’ thought Sam.,
15418,"‘Well, now for it again!’",
15419,"‘Yes, let us go,’ said Frodo.",
15420,"‘But if you can only speak ill of those who showed you mercy, keep silent!’ ‘Nice Master!’ said Gollum.",
15421,‘Sme´agol was only joking.,
15422,"Always forgives, he does, yes, yes, even nice Master’s little trickses.",
15423,"Oh yes, nice Master, nice Sme´agol!’ Frodo and Sam did not answer.",
15424,"Hoisting their packs and taking their staves in hand, they passed on into the woods of Ithilien.Twice that day they rested and took a little of the food provided by Faramir: dried fruits and salted me","at, enough for many days; and bread enough to last while it was still fresh."
15425,"Gollum ate nothing.The sun rose and passed overhead unseen, and began to sink, and the light through the trees to the west grew golden; and always they walked in cool green shadow, and all about them ",was silence.
15426,"The birds seemed all to have flown away or to have fallen dumb.Darkness came early to the silent woods, and before the fall of night they halted, weary, for they had walked seven leagues or more from ",Henneth Annuˆn.
15427,Frodo lay and slept away the night on the deep mould beneath an ancient tree.,
15428,"Sam beside him was more uneasy: he woke many times, but there was never a sign of Gollum, who had slipped off as soon as the others had settled to rest.",
15429,"Whether he had slept by himself in some hole nearby, or had wandered rest- lessly prowling through the night, he did not say; but he returned with the first glimmer of light, and roused his companions",".‘Must get up, yes they must!’ he said."
15430,"‘Long ways to go still, south and east.",
15431,"Hobbits must make haste!’ That day passed much as the day before had gone, except that the silence seemed deeper; the air grew heavy, and it began to be stifling under the trees.",
15432,It felt as if thunder was brewing.,
15433,"Gollum often paused, sniffing the air, and then he would mutter to himself and urge them to greater speed.As the third stage of their day’s march drew on and afternoon waned, the forest opened out, an",d the trees became larger and more scattered.
15434,"Great ilexes of huge girth stood dark and solemn in wide glades with here and there among them hoary ash-trees, and giant oaks just putting out their brown-green buds.",
15435,"About them lay long launds of green grass dappled with celandine and anemones, white and blue, now folded for sleep; and there were acres populous with the leaves of woodland hyacinths: already their ",sleek bell-stems were thrusting through the mould.
15436,"No living creature, beast or bird, was to be seen, but in these open places Gollum grew afraid, and they walked now with caution, flitting from one long shadow to another.",
15437,snakes down a steep crumbling bank.,
15438,A deep dim valley lay before them.,
15439,"On its further side the woods gathered again, blue and grey under the sullen evening, and marched on southwards.",
15440,"To the right the Mountains of Gondor glowed, remote in the West, under a fire- flecked sky.",
15441,"To the left lay darkness: the towering walls of Mordor; and out of that darkness the long valley came, falling steeply in an ever-widening trough towards the Anduin.",
15442,"At its bottom ran a hurrying stream: Frodo could hear its stony voice coming up through the silence; and beside it on the hither side a road went winding down like a pale ribbon, down into chill grey ",mists that no gleam of sunset touched.
15443,"There it seemed to Frodo that he descried far off, floating as it were on a shadowy sea, the high dim tops and broken pinnacles of old towers forlorn and dark.He turned to Gollum.",
15444,"‘Do you know where we are?’ he said.‘Yes, Master.",
15445,Dangerous places.,
15446,"This is the road from the Tower of the Moon, Master, down to the ruined city by the shores of the River.",
15447,"The ruined city, yes, very nasty place, full of enemies.",
15448,We shouldn’t have taken Men’s advice.,
15449,Hobbits have come a long way out of the path.,
15450,"Must go east now, away up there.’ He waved his skinny arm towards the darkling mountains.",
15451,‘And we can’t use this road.,
15452,Oh no!,
15453,"Cruel peoples come this way, down from the Tower.’ Frodo looked down on to the road.",
15454,At any rate nothing was moving on it now.,
15455,"It appeared lonely and forsaken, running down to empty ruins in the mist.",
15456,"But there was an evil feeling in the air, as if things might indeed be passing up and down that eyes could not see.",
15457,"Frodo shuddered as he looked again at the distant pinnacles now dwindling into night, and the sound of the water seemed cold and cruel: the voice of Morgulduin, the polluted stream that flowed from th",e Valley of the Wraiths.‘What shall we do?’ he said.
15458,‘We have walked long and far.,
15459,"Shall we look for some place in the woods behind where we can lie hidden?’ ‘No good hiding in the dark,’ said Gollum.",
15460,"‘It’s in day that hobbits must hide now, yes in day.’ ‘Oh come!’ said Sam.",
15461,"‘We must rest for a bit, even if we get up again in the middle of the night.",
15462,"There’ll still be hours of dark then, time enough for you to take us a long march, if you know the way.’ Gollum reluctantly agreed to this, and he turned back towards the trees, working eastward for a", while along the straggling edges of the wood.
15463,"He would not rest on the ground so near the evil road, and after some debate they all climbed up into the crotch of a large holm-oak, whose thick branches springing together from the trunk made a good", hiding-place and a fairly comfortable refuge.
15464,Night fell,
15465,Gollum at once curled up and went to sleep.,
15466,"The hobbits did not shut their eyes.It must have been a little after midnight when Gollum woke up: suddenly they were aware of his pale eyes unlidded gleaming at them.He listened and sniffed, which se","emed, as they had noticed before, his usual method of discovering the time of night.‘Are we rested?"
15467,Have we had beautiful sleep?’ he said.,
15468,"‘Let’s go!’ ‘We aren’t, and we haven’t,’ growled Sam.",
15469,"‘But we’ll go if we must.’ Gollum dropped at once from the branches of the tree on to all fours, and the hobbits followed more slowly.As soon as they were down they went on again with Gollum lead- ing",", eastwards, up the dark sloping land."
15470,"They could see little, for the night was now so deep that they were hardly aware of the stems of trees before they stumbled against them.",
15471,"The ground became more broken and walking was more difficult, but Gollum seemed in no way troubled.",
15472,"He led them through thickets and wastes of brambles; sometimes round the lip of a deep cleft or dark pit, sometimes down into black bush-shrouded hollows and out again; but if ever they went a little ","downward, always the further slope was longer and steeper."
15473,They were climbing steadily.,
15474,"At their first halt they looked back, and they could dimly perceive the roofs of the forest they had left behind, lying like a vast dense shadow, a darker night under the dark blank sky.",
15475,"There seemed to be a great blackness looming slowly out of the East, eating up the faint blurred stars.",
15476,"Later the sinking moon escaped from the pursuing cloud, but it was ringed all about with a sickly yellow glare.At last Gollum turned to the hobbits.",
15477,"‘Day soon,’ he said.",
15478,‘Hobbits must hurry.,
15479,Not safe to stay in the open in these places.,
15480,"Make haste!’ He quickened his pace, and they followed him wearily.",
15481,Soon they began to climb up on to a great hog-back of land.,
15482,"For the most part it was covered with a thick growth of gorse and whortleberry, and low tough thorns, though here and there clearings opened, the scars of recent fires.",
